AB133LicenseSurvey_ID,AB133SurveyQuestion_REF_Number,AB133SurveyAnswerCategory_REF_ID,AB133SurveyAnswer_REF_ID,StringAnswer
22,16,8,47,
22,16,9,96,
22,16,10,89,
22,16,11,75,
22,16,12,82,
22,17,19,,94305
22,7,36,121,
22,9,38,133,
22,10,39,155,
22,11,40,691,
22,12,69,423,
27,16,8,41,
27,16,9,90,
27,16,10,83,
27,16,11,69,
27,16,12,77,
27,17,19,,89121
27,7,36,121,
27,9,38,132,
27,10,39,184,
27,11,40,223,
27,12,51,310,
27,12,63,398,
27,22,93,566,
27,25,96,627,
29,16,8,46,
29,16,9,90,
29,16,10,83,
29,16,11,70,
29,16,12,76,
29,16,13,,0
29,17,19,,94533
29,7,36,123,
29,9,38,133,
29,10,39,155,
29,11,40,691,
29,12,66,413,
33,16,8,42,
33,16,9,90,
33,16,10,83,
33,16,11,74,
33,16,12,76,
33,16,13,,75
33,17,19,,84103
33,7,36,123,
33,9,38,135,
33,10,39,184,
33,11,40,691,
33,12,63,398,
33,12,63,400,
69,16,8,41,
69,16,9,90,
69,16,10,83,
69,16,11,69,
69,16,12,76,
69,17,19,,33410
69,7,36,123,
69,9,38,132,
69,10,39,168,
69,11,40,249,
69,12,52,312,
69,12,52,316,
69,22,93,566,
69,22,93,603,
69,25,96,628,
77,16,8,47,
77,16,9,96,
77,16,10,89,
77,16,11,75,
77,16,12,82,
77,7,36,124,
77,9,38,138,
77,10,39,194,
77,11,40,691,
77,12,69,422,
80,16,8,41,
80,16,9,90,
80,16,10,86,
80,16,11,70,
80,16,12,76,
80,7,36,123,
80,9,38,132,
80,10,39,688,
80,11,40,202,
80,12,48,297,
80,14,89,527,
80,22,93,566,
80,25,96,627,
89,16,8,43,
89,16,9,90,
89,16,10,84,
89,16,11,70,
89,16,12,76,
89,16,13,,70
89,17,19,,91776
89,7,36,123,
89,9,38,133,
89,10,39,152,
89,11,40,210,
89,11,40,215,
89,12,47,274,
89,12,57,335,
89,22,93,566,
89,22,93,591,
89,22,93,616,
89,25,96,627,
89,1,101,642,
89,2,103,654,
89,2,103,664,
95,16,8,45,
95,16,9,90,
95,16,10,83,
95,16,11,70,
95,16,12,76,
95,16,13,,40
95,17,19,,94027
95,19,27,,95128
95,7,36,123,
95,9,38,131,
95,10,39,176,
95,11,40,691,
95,12,58,360,
95,22,93,566,
105,16,8,42,
105,16,9,91,
105,16,10,84,
105,16,11,70,
105,16,12,76,
105,16,13,,0
105,7,36,123,
105,9,38,137,
105,10,39,159,
105,11,40,209,
105,12,48,293,
105,14,89,527,
105,22,93,566,
105,25,96,627,
105,1,101,642,
105,2,106,678,
109,16,8,42,
109,16,9,91,
109,16,10,85,
109,16,11,69,
109,16,12,78,
109,16,13,,1
109,17,19,,75028
109,7,36,123,
109,9,38,133,
109,10,39,175,
109,11,40,691,
109,12,57,335,
109,25,96,627,
116,16,8,45,
116,16,9,90,
116,16,10,83,
116,16,11,69,
116,16,12,76,
116,16,13,,0
116,17,19,,71201
116,7,36,123,
116,9,38,132,
116,10,39,141,
116,11,40,691,
116,12,42,252,
116,25,96,628,
118,16,8,45,
118,16,9,90,
118,16,10,83,
118,16,11,69,
118,16,12,76,
118,16,13,,0
118,7,36,123,
118,9,38,131,
118,10,39,159,
118,11,40,691,
118,12,48,293,
118,25,96,627,
122,16,8,41,
122,16,9,90,
122,16,10,83,
122,16,11,69,
122,16,12,77,
122,17,19,,94028
122,7,36,123,
122,9,38,137,
122,10,39,184,
122,11,40,691,
122,12,63,398,
122,14,89,527,
123,16,8,41,
123,16,9,90,
123,16,10,83,
123,16,11,69,
123,16,12,76,
123,7,36,121,
123,9,38,137,
123,10,39,177,
123,11,40,210,
123,12,59,368,
123,14,89,527,
123,22,93,566,
123,22,93,603,
123,22,93,605,
123,25,96,627,
123,1,101,642,
123,2,103,656,
125,16,8,42,
125,16,9,91,
125,16,10,84,
125,16,11,69,
125,16,12,80,
125,16,13,,50
125,17,19,,93012
125,7,36,123,
125,9,38,134,
125,10,39,170,
125,11,40,213,
125,11,40,215,
125,12,48,293,
125,12,48,295,
125,22,93,566,
125,1,101,642,
125,2,106,678,
128,16,8,47,
128,16,9,96,
128,16,10,89,
128,16,11,75,
128,16,12,82,
128,7,36,124,
128,9,38,138,
128,10,39,194,
128,11,40,250,
128,12,69,422,
149,16,8,45,
149,16,9,90,
149,16,10,83,
149,16,11,69,
149,16,12,76,
149,16,13,,15
149,17,19,,91105
149,7,36,123,
149,9,38,132,
149,10,39,159,
149,11,40,249,
149,12,48,293,
149,22,93,566,
149,25,96,627,
149,1,101,642,
149,2,106,678,
161,16,8,45,
161,16,9,90,
161,16,10,85,
161,16,11,69,
161,16,12,78,
161,16,13,,2
161,17,19,,92708
161,7,36,123,
161,9,38,137,
161,10,39,164,
161,11,40,691,
161,12,50,309,
161,22,93,566,
161,22,93,578,
161,25,96,627,
161,1,101,642,
161,2,106,678,
176,16,9,90,
176,16,10,83,
176,16,11,70,
176,16,12,77,
176,17,19,,90210
176,22,93,566,
176,25,96,628,
190,16,8,46,
190,16,9,92,
190,16,10,85,
190,16,11,74,
190,16,12,78,
190,16,13,,10
190,17,19,,93534
190,7,36,123,
190,9,38,137,
190,10,39,142,
190,11,40,215,
190,12,48,284,
190,12,48,294,
198,16,8,42,
198,16,9,90,
198,16,10,83,
198,16,11,69,
198,16,12,76,
198,16,13,,0
198,17,19,,92657
198,7,36,123,
198,9,38,135,
198,10,39,184,
198,11,40,691,
198,12,63,398,
198,22,93,566,
198,25,96,627,
198,1,101,642,
198,2,106,678,
205,16,8,45,
205,16,9,91,
205,16,10,84,
205,16,11,70,
205,16,12,76,
205,16,13,,10
205,17,19,,94158
205,7,36,122,
205,9,38,131,
205,10,39,176,
205,11,40,196,
205,12,69,423,
205,22,93,566,
205,25,96,627,
205,1,101,642,
205,2,106,678,
210,16,8,46,
210,16,9,91,
210,16,10,83,
210,16,11,70,
