LicenseID,FeeExemptModifierCode
100789,VOL
100798,VOL
100819,RETI
100849,DIS
100894,RETI
100930,RETI
100935,RETI
100971,VOL
101022,RETI
101037,VOL
101063,RETI
101073,VOL
101161,RETI
101210,VOL
101233,VOL
101253,VOL
101256,RETI
101261,VOL
101334,RETI
101351,RETI
101370,VOL
101395,RETI
101455,RETI
101462,RETI
101485,VOL
101524,RETI
101554,VOL
101562,RETI
101572,RETI
101580,RETI
101610,VOL
101630,RETI
101653,RETI
101662,RETI
101666,RETI
101675,VOL
101704,RETI
101720,RETI
101810,RETI
101973,VOL
1020008,MIL
1020068,RETI
1020134,RETI
102014,RETI
1020144,VOL
1020241,RETI
1020247,RETI
1020266,RETI
1020273,RETI
1020304,RETI
1020344,RETI
1020406,RETI
1020407,VOL
1020411,RETI
1020444,RETI
102045,RETI
1020476,RETI
102049,RETI
1020495,RETI
1020510,RETI
1020628,RETI
1020660,RETI
1020679,RETI
1020697,RETI
102071,VOL
102073,RETI
1020734,RETI
1020763,RETI
1020851,MIL
1020858,RETI
1020900,RETI
1020953,MIL
1021040,RETI
1021060,RETI
1021099,MIL
1021100,RETI
1021214,RETI
1021243,RETI
1021282,RETI
102130,RETI
1021320,RETI
1021524,RETI
1021627,RETI
102168,RETI
1021801,MIL
1021909,RETI
1021975,RETI
1021995,RETI
1022027,MIL
1022095,RETI
102213,RETI
1022276,RETI
1022375,RETI
1022493,VOL
102250,RETI
1022715,RETI
1022726,VOL
1022738,DIS
1022809,MIL
1022928,RETI
1022964,RETI
1022966,MIL
1023013,DIS
1023030,RETI
1023062,VOL
1023081,RETI
1023108,VOL
1023117,RETI
1023270,RETI
1023329,MIL
1023419,RETI
102349,RETI
1023547,RETI
1023560,RETI
1023671,RETI
102369,RETI
1023868,RETI
102387,VOL
1023958,RETI
1023977,RETI
1024004,RETI
1024010,VOL
1024041,RETI
1024044,RETI
1024050,VOL
102410,RETI
1024129,RETI
1024141,RETI
1024157,RETI
1024163,RETI
1024190,VOL
1024198,RETI
1024201,RETI
1024216,RETI
1024234,RETI
1024283,RETI
1024291,VOL
1024301,RETI
1024314,VOL
1024320,VOL
1024329,RETI
1024331,VOL
1024334,VOL
1024343,RETI
1024376,VOL
1024389,VOL
102439,RETI
1024397,RETI
1024447,VOL
1024449,VOL
1024484,RETI
1024539,RETI
1024548,RETI
1024550,RETI
1024561,RETI
1024563,VOL
1024589,VOL
1024633,RETI
1024668,VOL
1024686,RETI
1024702,RETI
1024710,RETI
1024715,VOL
1024730,VOL
1024733,RETI
1024742,RETI
1024746,RETI
1024749,RETI
1024758,VOL
1024777,RETI
1024791,VOL
1024803,VOL
1024815,RETI
1024818,RETI
1024821,RETI
1024822,RETI
1024852,VOL
1024855,RETI
1024869,VOL
1024881,RETI
1024893,RETI
1024922,RETI
1024943,RETI
102496,RETI
1024978,RETI
1024994,RETI
1025064,VOL
1025087,RETI
1025095,RETI
1025124,VOL
1025134,RETI
1025141,RETI
1025142,VOL
1025148,RETI
1025151,RETI
1025173,VOL
1025189,VOL
1025212,RETI
1025241,RETI
1025245,RETI
1025253,VOL
1025261,RETI
