LicenseID,SecondaryStatusCodeModifier
100119,71
100209,52
100319,52
100411,52
100791,71
100826,57
100868,78
101185,61
101213,79
101256,71
101276,78
101334,71
101365,57
101365,76
101365,78
101428,77
101434,77
101434,80
101534,52
101601,79
1020066,48
1020068,47
1020083,78
1020147,78
1020156,61
1020262,9
102036,81
1020513,48
1020534,79
1020615,78
1020620,81
1020639,71
1020639,76
1020768,81
1020803,48
1020803,78
1020867,78
1020920,57
1020928,57
1020928,79
1021079,48
1021101,53
1021101,70
1021126,79
1021180,81
1021231,48
1021231,76
1021231,77
1021247,78
1021247,79
1021282,78
1021444,71
1021484,47
1021484,53
1021484,70
1021493,78
1021571,71
1021647,81
1021682,81
1021694,9
1021710,9
1022036,9
1022277,78
1022310,48
1022372,48
1022414,81
1022593,81
1022603,52
1022603,78
1022712,53
1022785,57
1022785,78
1022788,78
1022895,71
1023227,71
1023227,91
1023365,52
1023365,77
1023375,52
1023375,78
1023430,71
1023430,78
1023542,71
1023574,79
1023703,78
1023869,71
1023888,48
1023948,61
1023948,78
1023969,78
1024005,81
1024034,52
1024034,78
1024049,78
1024051,61
1024051,77
1024051,78
1024052,81
1024052,79
1024102,71
1024102,78
1024119,52
1024144,9
1024248,52
1024263,61
1024284,68
1024284,78
1024301,71
1024320,71
1024320,78
1024384,48
1024441,52
1024441,78
1024442,71
1024469,78
1024507,81
1024515,81
1024544,78
1024544,79
1024554,47
1024554,71
1024597,9
1024621,48
1024621,78
1024757,48
1024877,78
1024895,71
1024905,48
1024905,71
1024907,52
1024963,71
1024973,78
1024974,71
1024992,9
1024994,71
1024994,77
1024997,76
1024997,77
1024997,80
1025001,79
1025011,57
1025023,47
1025023,53
1025023,70
1025132,78
1025148,78
1025175,71
1025204,52
1025204,78
1025330,78
1025393,9
1025497,71
1025552,78
1025615,78
1025615,80
1025623,57
1025781,71
1025790,80
1025805,77
1025839,50
1025839,53
1025839,70
1025846,52
1025846,78
1025950,71
1025950,78
1025967,71
1026067,61
102608,61
102608,91
1026200,78
1026308,71
1026356,56
1026360,78
1026364,47
1026445,71
1026445,78
1026445,91
1026450,81
1026452,71
1026452,91
1026522,52
1026522,78
1026651,52
1026662,81
1026715,57
1026739,50
1026739,70
1026787,81
1026808,9
1026836,78
1026883,52
1026883,78
1026885,81
1026896,47
1026900,71
1026919,48
1026961,57
1026985,9
1027340,38
1027431,80
1027440,48
1027467,78
1027470,71
1027477,48
1027477,78
1027536,48
1027536,78
1027735,81
102776,71
1027977,52
1027977,76
1027977,78
1027988,49
1028009,50
1028009,54
1028009,68
1028009,78
1028227,81
1028232,52
1028232,78
102825,52
102825,78
1028294,78
1028360,78
1028388,48
1028564,48
1028564,71
1028632,78
1028681,48
1028708,71
1028708,76
1028811,49
1028860,52
1028860,77
