LicenseID,SurveyID,PatientCarePrimaryZipCode,PatientCarePrimaryCountyCode,PatientCareSecondaryZipCode,PatientCareSecondaryCountyCode,TelemedicinePrimaryZipCode,TelemedicinePrimaryCountyCode,TelemedicineSecondaryZipCode,TelemedicineSecondaryCountyCode
1710498,1000000,,,,,,,,
1359373,1000001,92806,30,92806,30,92806,30,92806,30
1138407,1000002,92008,37,,,92130,37,,
5589356,1000003,90059,19,,,,,,
1762842,1000004,95688,48,94589,48,95688,48,,48
894049,1000005,55901,59,,,55901,59,,
972816,1000007,94117,38,,,94117,38,,
1766104,1000008,95817,34,95655,34,95817,34,95655,34
2776428,1000011,92505,33,,,92505,33,,
1225572,1000013,93277,54,,,93277,54,,
5590120,1000015,95817,34,95655,34,95817,34,,
686675,1000016,91303,19,,,91303,19,,
5170702,1000017,92505,33,,,,,,
1711768,1000018,18507,59,,,18507,59,,
2868696,1000019,91105,19,,,91105,19,,
5615303,1000020,95817,34,,,95817,34,,
5396193,1000021,92354,36,,,,,,
1380881,1000022,95051,43,,,,,,
1710730,1000024,92868,30,92618,30,92868,30,92618,30
1096853,1000025,95816,34,95817,34,95816,34,95816,34
1195077,1000026,89086,29,,,89086,29,,
1677424,1000027,90035,19,,,,,,
478227,1000030,95124,43,94305,43,,,,
1638212,1000031,,34,,,,34,,
937560,1000032,92307,36,92307,36,92307,36,92307,36
5305485,1000034,90015,19,91360,56,,,,
5581110,1000035,94305,43,,,94305,43,,
1710112,1000037,14642,59,,,14642,59,,
1813347,1000038,85204,59,92868,30,,,,
760081,1000040,92395,36,,,92395,36,,
5251160,1000041,70130,59,90120,19,,,,
1769408,1000042,,,,,80603,59,,
1541481,1000044,,,,,,18,,
5571814,1000045,89511,,,,89511,,,
1027189,1000046,94582,7,,,,,,
5567912,1000047,,10,,,,10,,
375271,1000048,94403,41,,,94403,41,,
2134341,1000049,90505,19,90254,19,,,,
1382825,1000050,94589,48,95688,48,,,,
2044467,1000051,,,,,,,,
1990373,1000052,,,,,,,,
5243594,1000053,90024,19,,,90024,19,,
5228837,1000054,90095,19,,,90095,19,,
1956267,1000055,94010,41,,,94010,41,,
1381850,1000056,90262,19,,,90262,19,,
1388735,1000057,90027,19,,,,,,
2046150,1000058,95521,12,,,,,,
5076674,1000060,90027,19,,,,,,
1543082,1000061,94553,7,,,94553,7,,
1382897,1000063,90048,19,,,90048,19,,
2185567,1000064,,,,,,,,
2087365,1000065,,,,,,,,
1433085,1000066,92663,30,,,92663,30,,
1719451,1000067,95116,43,,,,,,
391729,1000068,95811,,,,,,,
5572511,1000069,94143,38,,,,,,
1134664,1000073,95032,,,,,,,
934067,1000074,94305,43,,,,,,
1959040,1000075,00000,,,,00000,,,
163066,1000076,95817,34,,,,,,
5583974,1000077,93636,20,,,93636,20,,
938278,1000078,90804,19,90248,19,90804,19,90804,19
1259005,1000079,94087,43,94118,38,9408,43,93940,27
1385524,1000080,91706,19,,,91706,19,,
2049003,1000081,92037,37,92128,37,92037,37,92128,37
2130903,1000082,95051,43,,,95051,43,,
5164488,1000083,,,,,,,,
2136563,1000084,95128,43,,,95128,43,,
2184442,1000085,94403,41,,,94025,41,,
2244874,1000086,,,,,,,,
1383984,1000087,90027,19,,,90027,19,,
334850,1000088,90037,19,,,90037,19,,
971455,1000089,91367,19,,,,,,
1712039,1000090,90250,,,,90250,,,
934368,1000092,,19,,,,19,,
1224352,1000094,95655,34,90803,19,95864,34,90803,19
5602987,1000095,90012,19,,,,,,
2046685,1000096,95203,39,,,,,,
718820,1000097,92037,37,,,,,,
857769,1000098,92653,30,92866,30,92653,30,92866,30
760513,1000099,93311,15,91330,19,93311,15,,
5509463,1000100,32935,59,,,,,,
2131935,1000101,92868,,,,92868,,,
1710922,1000102,90027,19,,,,,,
2840399,1000103,91740,19,91790,19,91740,19,,
892811,1000104,91436,19,,,91436,19,,
1718329,1000105,60141,,,,,,,
1582031,1000106,92868,30,,,,,,
1951781,1000107,90210,,,,,,,
517714,1000108,93720,10,,,93720,10,,
5259505,1000109,95356,50,,,,,,
2049896,1000110,95831,34,,,95831,34,,
1711859,1000111,,,,,,,,
1430387,1000112,95825,34,95661,31,,,,
2827731,1000113,,,,,,,,
1222068,1000114,95051,,,,,,,
1430041,1000115,85308,,,,,,,
1281074,1000117,,,,,,,,
856449,1000118,95032,43,,,,,,
972515,1000119,94040,43,,,,,,
939828,1000121,96814,,,,96814,,,
2045534,1000122,91107,19,91016,19,91107,19,91016,19
2859186,1000123,94304,43,,,94304,43,,
1761952,1000125,94964,,,,,,,
1638077,1000126,88201,59,88201,59,88201,59,88201,59
2183736,1000127,90048,19,,,,,,
803319,1000128,92064,37,,,,,,
890860,1000129,91367,19,,,91367,19,,
2185943,1000130,90048,19,,,,,,
602293,1000131,,,,,,,,
5582263,1000132,90033,19,91101,19,90033,19,91101,19
2837384,1000133,94306,43,,,94306,43,,
1638002,1000134,92335,36,,,92335,36,,
1433307,1000135,94403,41,94102,38,94403,41,94102,38
895560,1000136,90069,19,,,,,,
935416,1000137,94109,38,,,,,,
2138322,1000138,96001,45,,,,,,
2884595,1000139,94015,41,,,,,,
512468,1000140,90242,19,,,,,,
1432427,1000141,91204,19,,,91204,19,,
1437292,1000142,95630,34,,,,,,
5633980,1000144,91328,19,,,,,,
1137431,1000147,20404,19,90025,19,20404,19,90025,19
5081669,1000148,91010,19,,,91010,19,,
1224970,1000149,95336,39,,,95336,39,,
2240474,1000150,90017,19,90017,19,90017,19,90017,19
5116480,1000151,30322,,91101,,,,,
1381017,1000152,59405,59,,,,,,
2089601,1000153,94523,7,,,94523,7,,
2185261,1000154,90210,19,,,90210,19,,
859475,1000155,,,,,93704,10,,
1678197,1000156,92231,13,,,92231,13,,
5155186,1000157,,,,,,,,
1481830,1000158,90033,19,,,,,,
5029709,1000159,94116,38,94108,38,94116,38,94108,38
5609258,1000160,92123,37,92037,37,92123,37,92037,37
1354735,1000161,92056,37,,,92056,37,,
891909,1000162,92113,37,,,,,,
1813019,1000163,95842,34,95825,34,95842,34,95825,34
1167092,1000164,79902,59,,,79902,59,,
2086736,1000165,,,,,,,,
1543318,1000166,92691,30,,,92691,30,,
5068456,1000167,91786,36,91767,19,,,,
1310223,1000168,89109,,,,89128,,,
1481615,1000169,91741,,,,91741,,,
5493247,1000170,95127,43,,,,,,
974609,1000171,91505,19,91204,19,,,,
2892196,1000173,93701,10,,,93701,10,,
1433898,1000174,91423,19,,,,,,
5606672,1000175,94122,38,,,,,,
1677758,1000176,,,,,,,,
2088307,1000178,91343,19,,,,,,
395199,1000179,,,,,,,,
2878608,1000180,94143,38,,,,,,
2248742,1000181,,,,,,,,
5118632,1000182,90744,19,,,90744,19,,
890799,1000183,94304,43,,,94305,43,,
2837441,1000184,90503,,,,,,,
2866039,1000185,92868,30,,,92868,30,,
5094974,1000186,91006,19,91767,19,,,,
2246625,1000187,,,,,,,,
685033,1000188,92663,30,,,,,,
2189872,1000190,92037,37,,,,,,
5601246,1000191,95124,43,,,,,,
1766400,1000192,,,,,,,,
2188300,1000193,92806,30,92806,30,92806,30,92806,30
1430726,1000194,60521,59,,59,,,,
2133863,1000195,94591,48,,,,,,
5580341,1000196,92354,36,,,92354,36,,
1384104,1000197,90703,19,,,90703,19,,
1638230,1000199,95655,34,,,95655,34,,
761563,1000200,92369,36,92369,36,92335,36,92335,36
1027998,1000201,90073,19,,,90292,19,,
2830359,1000203,91007,19,90033,19,,,,
1678169,1000204,95661,31,,,,,,
2047315,1000205,93720,,93720,,93720,,93720,
1384485,1000206,94043,43,,,,,,
2757471,1000207,94583,7,,,94583,7,,
1025573,1000209,,,,,,,,
2132633,1000211,06457,59,,,,,,
5628146,1000212,93230,16,93204,16,,,,
2087174,1000213,,,,,,,,
5547066,1000214,90095,19,90404,19,,,,
5602737,1000215,92122,37,,,92122,37,,
2048163,1000216,92708,30,,,,,,
1715326,1000217,93514,14,,,,,,
5546434,1000218,,,,,,,,
1769485,1000219,54449,,,,,,,
606409,1000220,95204,39,,,,,,
2183678,1000221,,,,,,,,
896127,1000222,94305,43,,,94305,43,,
1437671,1000223,94403,41,,,94611,1,,
5588865,1000224,90033,,,,,,,
1674444,1000225,93001,56,,,93001,56,,
419965,1000226,93003,56,,,,,,
1024863,1000227,92806,30,,,,,,
2132418,1000229,,,,,,,,
1817266,1000230,,,,,,,,
2725584,1000231,55379,,,,55345,,,
1165645,1000232,23509,59,,,,,,
396233,1000233,94553,7,,,,,,
1769530,1000234,92055,,,,92055,,,
1193756,1000235,90027,19,,,90027,19,,
5590392,1000236,92506,33,91910,37,92506,33,91910,37
2870898,1000237,,,,,,,,
2860652,1000238,07094,59,,,,,,
5600854,1000239,94143,38,,,,,,
1098265,1000240,15232,,,,15232,,,
1162930,1000241,33615,59,,,,,,
934985,1000242,91307,19,93065,56,91307,19,93065,56
5154467,1000244,,,,,,,,
1380732,1000245,94607,1,,,94607,1,,
1816792,1000248,94520,7,,,94520,7,,
1769526,1000249,91011,19,,,91011,19,,
1636829,1000250,,,,,,,,
1718580,1000251,19958,,,,19958,,,
1311237,1000252,93611,10,,,93611,10,,
1484168,1000254,91355,19,,,,,,
1540459,1000255,93901,27,,,93901,27,,
330286,1000256,,34,,34,,34,,34
934688,1000257,94301,43,,,94306,43,,
1097330,1000258,92630,30,92673,30,92630,30,92673,30
2134172,1000259,84003,59,,,,,,
2833555,1000260,19102,59,,,,,,
5104231,1000261,90027,19,,,90027,19,,
2088327,1000262,,,,,94903,21,,
1311848,1000263,92120,37,,,92120,37,,
2046874,1000264,94118,,,,94118,,,
2241377,1000265,83713,,,,,,,
1256169,1000266,95356,50,,,95356,50,,
471228,1000267,95602,31,95602,31,95602,31,95602,31
719696,1000268,95124,43,95032,43,,,,
5125776,1000269,94115,38,,,94115,38,,
1431648,1000270,92025,37,,,92025,37,,
1437972,1000271,90266,19,,,,,,
2134434,1000272,90822,19,,,90822,19,,
5217796,1000273,95630,34,,,95630,34,,
609444,1000274,,,,,,,,
2830004,1000275,92354,36,,,92354,36,,
1951603,1000276,,,,,,,,
5219377,1000277,94158,38,,,,,,
5608220,1000278,94118,38,,,,,,
5566497,1000279,95124,43,,,,,,
2910314,1000280,94143,,,,94143,,,
2136533,1000282,90095,19,90095,19,90095,19,90095,19
631738,1000283,91345,19,,,,,,
2185641,1000284,85006,,,,,,,
1711031,1000285,,15,,15,,,,
1381099,1000286,94801,,94611,,,,,
1710405,1000287,93215,15,93280,15,,,,
1710040,1000288,85248,59,,,,,,
5991438,1000289,,,,,,,,
2929732,1000290,93701,10,,,,,,
1865247,1000291,,,,,,,,
2851490,1000292,,,,,,,,
713142,1000293,,,,,,,,
2816639,1000294,91730,36,,,91730,36,,
1483418,1000295,94116,38,,,,,,
5387487,1000296,,,,,,,,
1435720,1000297,91203,19,91207,19,91203,19,91207,19
1432380,1000298,94903,21,,,,,,
1675601,1000299,,,,,,,,
5592951,1000300,94158,38,,,,,,
2131974,1000301,95815,34,,,95626,34,,
5050990,1000302,91101,19,,,91101,19,,
2134301,1000303,94611,1,,,94611,1,,
1544119,1000304,,,,,,,,
2240201,1000305,75390,59,,,,,,
2876317,1000306,90095,19,,,,,,
2134869,1000307,90505,19,,,90505,19,,
5287369,1000309,93030,56,93010,56,,,,
390339,1000311,,,,,60067,59,,
2043879,1000312,75216,59,,,75216,59,,
1359748,1000313,95126,43,,,,,,
1384350,1000315,96814,59,,,96814,59,,
1677455,1000316,94143,38,,,,,,
5963597,1000318,98902,59,,,98902,59,,
5595341,1000319,92610,30,,,92610,30,,
1678269,1000320,95210,39,,,95210,39,,
5169559,1000321,,,,,,,,
1540063,1000322,94577,1,,,94577,1,,
1164905,1000323,90073,19,,,90073,19,,
1710861,1000324,91505,19,,,91505,19,,
1638323,1000325,91345,19,,,,,,
5265108,1000326,94705,,94563,,94705,,94563,
935459,1000327,90089,19,,,90089,19,,
760417,1000329,92123,37,92037,37,92123,37,,
1312521,1000330,92886,30,,,92886,30,,
2702280,1000332,92505,33,,,92505,33,,
1713940,1000333,91042,19,,,,,,
513080,1000334,95131,43,,,95131,43,,
2134339,1000335,92840,30,92103,37,92840,30,,
1223534,1000336,95661,31,,,,,,
2044325,1000337,,,,,,,,
1388677,1000338,,,,,,,,
5251155,1000339,33919,,,,33919,,,
1433293,1000340,92606,30,,,92606,30,,
430988,1000341,,,,,,,,
5605610,1000342,22042,,,,,,,
2183563,1000343,,,,,,,,
2082509,1000344,,19,,,,19,,
2185264,1000345,97401,59,,,,,,
1713420,1000346,,,,,,,,
1311527,1000348,55455,59,,,55455,59,,
2044457,1000349,30033,,,,,,,
5196573,1000350,92562,33,,,92562,33,,
2828012,1000351,,,,,94301,43,,
719512,1000352,90028,19,90033,19,,,,
1388655,1000353,90033,19,,,90033,19,,
5618214,1000354,90024,19,,,90024,19,,
1359614,1000355,90048,19,,,,,,
563744,1000356,89106,,,,,,,
1355543,1000357,91105,19,90033,19,91105,19,09933,19
1677702,1000358,93013,42,,,93013,42,,
1258793,1000359,,,,,,,,
1138585,1000360,91328,19,,,90265,19,,
2185889,1000362,93105,,,,93111,,,
1631298,1000363,99204,59,,,,,,
973735,1000365,93309,15,,,,,,
603902,1000366,95124,43,94945,21,,,,
2914985,1000367,90027,19,90015,19,90027,19,90015,19
5198990,1000368,,,,,,,,
892510,1000369,97330,59,,,,,,
5622407,1000370,40514,59,,,40514,59,,
685252,1000371,92663,30,92628,30,,,,
2861207,1000372,90048,,,,,,,
2240535,1000374,93105,42,93436,42,93105,42,93436,42
1311640,1000376,92262,33,94602,1,,,,
2876501,1000378,90024,19,,,90024,19,,
1671000,1000380,92806,30,92618,30,,,,
2896603,1000381,94301,43,,,,,,
5043587,1000382,94143,38,,,,,,
477117,1000383,95355,50,,,95355,50,,
396556,1000384,90027,19,,,90242,19,,
1439314,1000385,95355,50,,,,,,
1432417,1000386,90503,19,90277,19,90503,19,90277,19
1718304,1000387,90212,19,,,90212,,,
2810903,1000388,,,,,,,,
1481439,1000389,90048,19,,,90048,19,,
1674823,1000390,92107,37,,,,,,
5603519,1000391,92374,36,92374,36,,,,
1253095,1000392,53705,59,,,53705,59,,
242479,1000393,92879,33,,,92879,33,,
377946,1000394,92505,33,,,,,,
1220068,1000395,92879,33,,,92879,33,,
5032508,1000397,90509,19,,,,,,
5608157,1000398,90033,,,,,,,
1353845,1000400,55902,59,,,55902,59,,
5595639,1000401,,,,,,,,
1437221,1000402,90067,19,,,90077,19,,
2043181,1000404,,,,,,,,
374322,1000406,93630,10,,,93630,10,,
1581886,1000407,94533,48,,,,,,
934621,1000408,91360,56,,,91360,56,,
1435596,1000409,90027,19,,,90027,19,,
456961,1000410,95670,34,,,95670,34,,
1434615,1000411,92505,33,,,92505,33,,
1194320,1000412,94598,7,,,94598,7,,
2185597,1000413,,12,,,,,,
1222032,1000414,94305,,94305,,94305,,94305,
2138372,1000415,94305,43,,,94305,43,,
2839224,1000416,94122,38,,,94122,38,,
1380641,1000420,94301,43,,,94301,43,,
891719,1000421,94301,43,94070,41,94301,43,94070,41
514585,1000422,91405,19,,,91405,19,,
1769420,1000423,94598,7,,,,,,
1710950,1000424,92404,36,,,,,,
890629,1000425,93722,10,,,93722,10,,
5002070,1000426,92501,33,,,92407,36,,
2134682,1000427,93901,27,93940,27,93901,27,93940,27
1438000,1000428,95608,34,,,,,,
1310012,1000429,92037,37,92037,37,,,,
1952874,1000430,90241,19,,,90241,19,,
1162809,1000431,92505,33,,,,,,
2137287,1000433,92313,36,92352,36,92313,36,92352,36
5608118,1000434,93722,10,,,93722,10,,
1769535,1000436,07446,,,,,,,
891659,1000437,95945,29,,,,,,
5585033,1000439,91105,19,,,91105,19,,
2180185,1000440,93455,42,,,93455,42,,
2246829,1000443,94589,48,,,94589,48,,
855260,1000444,,,,,,,,
2048918,1000445,95816,34,,,95816,34,,
1710819,1000446,95501,12,95501,12,95501,12,95501,12
2089607,1000447,87108,59,,,,,92182,37
1439961,1000448,33607,59,33709,59,,,,
5599971,1000450,93420,,,,93420,,,
455480,1000451,90710,19,90248,19,90710,19,90248,19
5598924,1000452,92037,37,92103,37,92037,37,92103,37
1384536,1000453,94709,,,,94709,,,
2081399,1000455,94301,43,,,94301,43,,
1864763,1000456,94546,1,,,,,,
1095972,1000457,,,,,,,,
1902388,1000458,92878,33,,,,,,
1383897,1000459,33908,,,,33912,,,
1026420,1000460,90033,19,,,90033,19,,
1543557,1000461,91367,19,,,91367,19,,
396435,1000462,90067,19,,,90067,19,,
5609942,1000463,90095,19,,,,,,
1869522,1000464,,,,,,,,
2138200,1000465,94305,43,,,,,,
5479911,1000466,95630,,95630,,95630,,95630,
1674736,1000467,91942,37,,,,,,
561299,1000468,91107,,,,91107,,91108,
2130006,1000469,94105,38,,,94105,38,,
5087886,1000470,93030,56,,,93030,56,,
894317,1000471,20016,,,,,,,
2876509,1000472,,,,,,,,
688958,1000473,92120,37,,,,,,
1582235,1000475,95124,43,,,95124,43,,
1998131,1000476,95973,4,,,95973,4,,
1387616,1000477,27910,,,,27910,,,
1995408,1000478,95240,39,,,,,,
299030,1000479,94010,38,,,94010,38,,
5383604,1000480,94611,7,,,94611,7,,
5495356,1000481,94134,38,,,94134,38,,
510638,1000482,95926,4,,,,,,
5248534,1000483,80012,,,,80012,,,
2738909,1000484,94305,43,,,,,,
1199133,1000485,90803,19,,,,,,
1430735,1000486,95051,43,,,95051,43,,
806485,1000487,22033,59,17331,59,,,,
893407,1000488,94108,38,,,94108,38,,
1385101,1000489,90210,19,,,,,,
971433,1000490,92618,30,,,,,,
1255853,1000491,91913,37,,,91913,37,,
2047025,1000492,94028,41,,,94301,43,,
1813272,1000493,92625,30,,,92625,30,,
1670408,1000494,91030,19,,,91030,19,,
2241246,1000495,,,,,,,,
5204667,1000496,,,,,,,,
1222250,1000497,91354,19,93531,19,91354,19,93531,19
1434814,1000498,90034,19,,,90034,19,,
1766396,1000499,92618,30,,,92618,30,,
5538073,1000500,95337,39,,,95391,39,,
930013,1000501,94015,,,,,,,
1436227,1000502,95128,43,95128,43,,,,
634403,1000504,95116,43,,,,,,
5572549,1000506,92130,37,,,92130,37,,
1280679,1000507,92103,37,,,92127,37,,
606363,1000508,96001,45,96001,45,96001,45,96001,45
