SurveyResponseCode,Description
00RETIREDNO,No
00RETIREDYES,Yes
01AD01-09,Administration - 1-9 Hours
01AD10-19,Administration - 10-19 Hours
01AD20-29,Administration - 20-29 Hours
01AD30-39,Administration - 30-39 Hours
01AD40PLUS,Administration - 40+ Hours
01ADNONE,Administration - None
01OT01-09,Other - 1-9 Hours
01OT10-19,Other - 10-19 Hours
01OT20-29,Other - 20-29 Hours
01OT30-39,Other - 30-39 Hours
01OT40PLUS,Other - 40+ Hours
01OTNONE,Other - None
01PC01-09,Patient Care - 1-9 Hours
01PC10-19,Patient Care - 10-19 Hours
01PC20-29,Patient Care - 20-29 Hours
01PC30-39,Patient Care - 30-39 Hours
01PC40PLUS,Patient Care - 40+ Hours
01PCNONE,Patient Care - None
01RE01-09,Research - 1-9 Hours
01RE10-19,Research - 10-19 Hours
01RE20-29,Research - 20-29 Hours
01RE30-39,Research - 30-39 Hours
01RE40PLUS,Research - 40+ Hours
01RENONE,Research - None
01TE01-09,Teaching - 1-9 Hours
01TE10-19,Teaching - 10-19 Hours
01TE20-29,Teaching - 20-29 Hours
01TE30-39,Teaching - 30-39 Hours
01TE40PLUS,Teaching - 40+ Hours
01TENONE,Teaching - None
01TM01-09,Telemedicine - 1-9 Hours
01TM10-19,Telemedicine - 10-19 Hours
01TM20-29,Telemedicine - 20-29 Hours
01TM30-39,Telemedicine - 30-39 Hours
01TM40PLUS,Telemedicine - 40+ Hours
01TMNONE,Telemedicine - None
03TRAINFEL,Fellow
03TRAINNOT,Not in Training
03TRAINRES,Residency
04aADDMED,AOA - Addictive Medicine
04aAEROMED1,Aerospace Medicine - Primary
04aAEROMED2,Aerospace Medicine - Secondary
04aALLIMM,AOA - Allergy and Immunology
04aALRGYIMM1,Allergy and Immunology - Primary
04aALRGYIMM2,Allergy and Immunology - Secondary
04aANESTH,AOA - Anesthesiology
04aANESTH1,Anesthesiology - Primary
04aANESTH2,Anesthesiology - Secondary
04aCARDIO1,Cardiology - Primary
04aCARDIO2,Cardiology - Secondary
04aCOLONREC1,Colon and Rectal Surgery - Primary
04aCOLONREC2,Colon and Rectal Surgery - Secondary
04aCOMPALT1,Complementary and Alternative Medicine - Primary
04aCOMPALT2,Complementary and Alternative Medicine - Secondary
04aCORRMED,AOA - Correctional Medicine
04aCOSMSURG1,Cosmetic Surgery - Primary
04aCOSMSURG2,Cosmetic Surgery - Secondary
04aCRITCARE1,Critical Care  - Primary
04aCRITCARE2,Critical Care  - Secondary
04aDERM,AOA - Dermatology
04aDERM1,Dermatology - Primary
04aDERM2,Dermatology - Secondary
04aEMERGMED1,Emergency Medicine - Primary
04aEMERGMED2,Emergency Medicine - Secondary
04aEMMED,AOA - Emergency Medicine
04aENDOCRIN1,Endocrinology - Primary
04aENDOCRIN2,Endocrinology - Secondary
04aEPILEPSY1,Epilepsy - Primary
04aEPILEPSY2,Epilepsy - Secondary
04aFACPLARE1,"Facial, Plastic and Reconstructive Surgery - Primary"
04aFACPLARE2,"Facial, Plastic and Reconstructive Surgery - Secondary"
04aFAMMED1,Family Medicine - Primary
04aFAMMED2,Family Medicine - Secondary
04aFAMPHY,AOA - Family Physicians
04aGASTRO1,Gastroenterology - Primary
04aGASTRO2,Gastroenterology - Secondary
04aGENPRAC1,General Practice - Primary
04aGENPRAC2,General Practice - Secondary
04aGENSURG1,General Surgery - Primary
04aGENSURG2,General Surgery - Secondary
04aGERIMED1,Geriatric Medicine - Primary
04aGERIMED2,Geriatric Medicine - Secondary
04aHEMA1,Hematology - Primary
04aHEMA2,Hematology - Secondary
04aHPMED,AOA - Hospice and Pallative Medicine
04aINFECT1,Infectious Disease - Primary
04aINFECT2,Infectious Disease - Secondary
04aINTMED,AOA - Internal Medicine
04aINTMED1,Internal Medicine - Primary
04aINTMED2,Internal Medicine - Secondary
04aMEDGEN1,Medical Genetics - Primary
04aMEDGEN2,Medical Genetics - Secondary
04aNEOPERIN1,Neonatal-Perinatal Medicine - Primary
04aNEOPERIN2,Neonatal-Perinatal Medicine - Secondary
04aNEPHR1,Nephrology - Primary
04aNEPHR2,Nephrology - Secondary
04aNEURMED,AOA - Neuromusculoskeletal Medicine
04aNEURO1,Neurology - Primary
04aNEURO2,Neurology - Secondary
04aNEUROCHI1,Neurology with Special Qualification in Child Neurology - Primary
04aNEUROCHI2,Neurology with Special Qualification in Child Neurology - Secondary
04aNEURODIS1,Neurodevelopmental Disabilities - Primary
04aNEURODIS2,Neurodevelopmental Disabilities - Secondary
04aNEUROSUR1,Neurological Surgery - Primary
04aNEUROSUR2,Neurological Surgery - Secondary
04aNEURPSY,AOA - Neurology and Psychiatry
04aNUCMED,AOA - Nuclear Medicine
04aNUCMED1,Nuclear Medicine - Primary
04aNUCMED2,Nuclear Medicine - Secondary
04aOBGYN1,Obstetrics and Gynecology - Primary
04aOBGYN2,Obstetrics and Gynecology - Secondary
04aOBSGYN,AOA - Obstetrics and Gynecology
04aOCCMED1,Occupational Medicine - Primary
04aOCCMED2,Occupational Medicine - Secondary
04aONCOLOGY1,Oncology - Primary
04aONCOLOGY2,Oncology - Secondary
04aOPHTHAM1,Ophthalmology - Primary
04aOPHTHAM2,Ophthalmology - Secondary
04aOPOT,AOA - Opthalmology and Otolaryngology
04aORTHO,AOA - Orthopedic Surgery
04aORTHOSUR1,Orthopedic Surgery - Primary
04aORTHOSUR2,Orthopedic Surgery - Secondary
04aOTHER1,Other - Not Listed - Primary
04aOTHER2,Other - Not Listed - Secondary
04aOTOLARYN1,Otolaryngology - Primary
04aOTOLARYN2,Otolaryngology - Secondary
04aPAIN,AOA - Pain Medicine
04aPAINMED1,Pain Medicine - Primary
04aPAINMED2,Pain Medicine - Secondary
04aPATH1,Pathology - Primary
04aPATH2,Pathology - Secondary
04aPATHO,AOA - Pathology
04aPEDI,AOA - Pediatrics
04aPEDIATRC1,Pediatrics - Primary
04aPEDIATRC2,Pediatrics - Secondary
04aPHYMEDRE1,Physical Medicine and Rehabilitation - Primary
04aPHYMEDRE2,Physical Medicine and Rehabilitation - Secondary
04aPHYSMED,AOA - Physical Medicine and Rehabilitation
04aPLASTSUR1,Plastic Surgery - Primary
04aPLASTSUR2,Plastic Surgery - Secondary
04aPREVMED,AOA - Preventative Medicine
04aPROC,AOA - Proctology
04aPSYCH1,Psychiatry - Primary
04aPSYCH2,Psychiatry - Secondary
04aPSYCHOSO1,Psychosomatic Medicine - Primary
04aPSYCHOSO2,Psychosomatic Medicine - Secondary
04aPUBHEALT1,Public Health and General Preventive Medicine - Primary
04aPUBHEALT2,Public Health and General Preventive Medicine - Secondary
04aPULMON1,Pulmonary - Primary
04aPULMON2,Pulmonary - Secondary
04aRADI,AOA - Radiology
04aRADI1,Radiology - Primary
04aRADI2,Radiology - Secondary
04aRADONCOL1,Radiation Oncology - Primary
04aRADONCOL2,Radiation Oncology - Secondary
04aRADPHYSI1,Radiologic Physics - Primary
04aRADPHYSI2,Radiologic Physics - Secondary
04aRHEUM1,Rheumatology - Primary
04aRHEUM2,Rheumatology - Secondary
04aSLEEP,AOA - Sleep Medicine
04aSLEEPMED1,Sleep Medicine - Primary
04aSLEEPMED2,Sleep Medicine - Secondary
04aSPINESUR1,Spine Surgery - Primary
04aSPINESUR2,Spine Surgery - Secondary
04aSPORTS,AOA - Sports Medicine
04aSPORTS1,Sports Medicine - Primary
04aSPORTS2,Sports Medicine - Secondary
04aSURG,AOA - Surgery
04aSURGONCO1,Surgical Oncology - Primary
04aSURGONCO2,Surgical Oncology - Secondary
04aTHORSURG1,Thoracic Surgery - Primary
04aTHORSURG2,Thoracic Surgery - Secondary
04aUHMED,AOA - Undersea and Hyperbaric Medicine
04aUROLOGY1,Urology - Primary
04aUROLOGY2,Urology - Secondary
04aVASCSURG1,Vascular Surgery - Primary
04aVASCSURG2,Vascular Surgery - Secondary
04bABAANESTH,American Board of Anesthesiology - Anesthesiology
04bABACCMED,American Board of Anesthesiology - Critical Care Medicine
04bABAHPMED,American Board of Anesthesiology - Hospice and Palliative Medicine
04bABAIAI,American Board of Allergy and Immunology - Allergy and Immunology
04bABAPAINMD,American Board of Anesthesiology - Pain Medicine
04bABAPEDANE,American Board of Anesthesiology - Pediatric Anesthesiology
04bABASLEEP,American Board of Anesthesiology - Sleep Medicine
04bABCRSCRS,American Board of Colon and Rectal Surgery - Colon and Rectal Surgery
04bABDCLDERM,American Board of Dermatology - Clinical and Laboratory Dermatological Immunology
04bABDDERM,American Board of Dermatology - Dermatology
04bABDDERPTH,American Board of Dermatology - Dermatopathology
04bABDPEDDER,American Board of Dermatology - Pediatric Dermatology
04bABEMCCMED,American Board of Emergency Medicine - Critical Care Medicine
04bABEMEM,American Board of Emergency Medicine - Emergency Medicine
04bABEMEMS,American Board of Emergency Medicine - Emergency Medical Services
04bABEMHPM,American Board of Emergency Medicine - Hospice and Palliative Medicine
04bABEMMEDTX,American Board of Emergency Medicine - Medical Toxicology
04bABEMPEDEM,American Board of Emergency Medicine - Pediatric Emergency Medicine
04bABEMSPORT,American Board of Emergency Medicine - Sports Medicine
04bABEMUHMED,American Board of Emergency Medicine - Undersea and Hyperbaric Medicine
04bABFMAM,American Board of Family Medicine - Adolescent Medicine
04bABFMFM,American Board of Family Medicine - Family Medicine
04bABFMGM,American Board of Family Medicine - Geriatric Medicine
04bABFMHPM,American Board of Family Medicine - Hospice and Palliative Medicine
04bABFMSLEEP,American Board of Family Medicine - Sleep Medicine
04bABFMSPORT,American Board of Family Medicine - Sports Medicine
04bABFPRSFPR,American Board of Facial Plastic and Reconstructive Surgery - Facial Plastic and Reconstructive Surgery
04bABIMAHFTC,American Board of Internal Medicine - Advanced Heart Failure and Transplant Cardiology
04bABIMAM,American Board of Internal Medicine - Adolescent Medicine
04bABIMCCE,American Board of Internal Medicine - Clinical Cardiac Electrophysiology
04bABIMCCM,American Board of Internal Medicine - Critical Care Medicine
04bABIMCD,American Board of Internal Medicine - Cardiovascular Disease
